
2022/11/04 (16:42:35) | ===> btop++ v.1.2.4
2022/11/04 (16:42:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/04 (16:42:47) | ===> btop++ v.1.2.4
2022/11/04 (16:42:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/04 (16:48:52) | ===> btop++ v.1.2.4
2022/11/04 (16:48:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/04 (16:56:55) | ===> btop++ v.1.2.4
2022/11/04 (16:56:55) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/04 (16:58:38) | ===> btop++ v.1.2.4
2022/11/04 (16:58:38) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/04 (16:58:57) | ===> btop++ v.1.2.4
2022/11/04 (16:58:57) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/04 (16:59:03) | ===> btop++ v.1.2.4
2022/11/04 (16:59:03) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/04 (16:59:08) | ===> btop++ v.1.2.4
2022/11/04 (16:59:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/04 (16:59:15) | ===> btop++ v.1.2.4
2022/11/04 (16:59:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/04 (16:59:27) | ===> btop++ v.1.2.4
2022/11/04 (16:59:27) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/05 (12:44:23) | ===> btop++ v.1.2.4
2022/11/05 (12:44:23) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/05 (12:44:57) | ===> btop++ v.1.2.4
2022/11/05 (12:44:57) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/05 (12:45:13) | ===> btop++ v.1.2.4
2022/11/05 (12:45:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/06 (14:20:55) | ===> btop++ v.1.2.4
2022/11/06 (14:20:55) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/06 (18:12:29) | ===> btop++ v.1.2.4
2022/11/06 (18:12:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/10 (14:26:52) | ===> btop++ v.1.2.4
2022/11/10 (14:26:52) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/10 (15:30:49) | ===> btop++ v.1.2.4
2022/11/10 (15:30:49) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/13 (00:49:29) | ===> btop++ v.1.2.4
2022/11/13 (00:49:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/14 (19:44:48) | ===> btop++ v.1.2.4
2022/11/14 (19:44:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/15 (14:06:58) | ===> btop++ v.1.2.4
2022/11/15 (14:06:58) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/24 (16:00:25) | ===> btop++ v.1.2.13
2022/11/24 (16:00:25) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/24 (21:19:56) | ===> btop++ v.1.2.13
2022/11/24 (21:19:56) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/25 (11:27:38) | ===> btop++ v.1.2.13
2022/11/25 (11:27:38) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/25 (13:10:15) | ===> btop++ v.1.2.13
2022/11/25 (13:10:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/25 (13:11:53) | ===> btop++ v.1.2.13
2022/11/25 (13:11:53) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/11/25 (15:36:12) | ===> btop++ v.1.2.13
2022/11/25 (15:36:12) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/01 (18:34:24) | ===> btop++ v.1.2.13
2022/12/01 (18:34:24) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/01 (20:33:35) | ===> btop++ v.1.2.13
2022/12/01 (20:33:35) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/02 (00:12:28) | ===> btop++ v.1.2.13
2022/12/02 (00:12:28) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/02 (12:52:00) | ===> btop++ v.1.2.13
2022/12/02 (12:52:00) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/02 (15:23:43) | ===> btop++ v.1.2.13
2022/12/02 (15:23:43) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/04 (16:59:13) | ===> btop++ v.1.2.13
2022/12/04 (16:59:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/05 (22:44:27) | ===> btop++ v.1.2.13
2022/12/05 (22:44:27) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/07 (12:16:34) | ===> btop++ v.1.2.13
2022/12/07 (12:16:34) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/08 (14:40:42) | ===> btop++ v.1.2.13
2022/12/08 (14:40:42) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/08 (17:06:04) | ===> btop++ v.1.2.13
2022/12/08 (17:06:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/08 (19:39:05) | ===> btop++ v.1.2.13
2022/12/08 (19:39:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/09 (13:24:07) | ===> btop++ v.1.2.13
2022/12/09 (13:24:07) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/11 (01:24:15) | ===> btop++ v.1.2.13
2022/12/11 (01:24:15) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/11 (01:37:29) | ===> btop++ v.1.2.13
2022/12/11 (01:37:29) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/11 (01:42:23) | ===> btop++ v.1.2.13
2022/12/11 (01:42:23) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/11 (01:43:08) | ===> btop++ v.1.2.13
2022/12/11 (01:43:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/11 (15:21:13) | ===> btop++ v.1.2.13
2022/12/11 (15:21:13) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/11 (15:21:45) | ===> btop++ v.1.2.13
2022/12/11 (15:21:45) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/11 (19:08:04) | ===> btop++ v.1.2.13
2022/12/11 (19:08:04) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/12 (14:34:05) | ===> btop++ v.1.2.13
2022/12/12 (14:34:05) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/12 (15:27:23) | ===> btop++ v.1.2.13
2022/12/12 (15:27:23) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/12 (18:30:32) | ===> btop++ v.1.2.13
2022/12/12 (18:30:32) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/13 (15:44:47) | ===> btop++ v.1.2.13
2022/12/13 (15:44:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/13 (15:48:01) | ===> btop++ v.1.2.13
2022/12/13 (15:48:01) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/13 (19:27:12) | ===> btop++ v.1.2.13
2022/12/13 (19:27:12) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/13 (19:28:38) | ===> btop++ v.1.2.13
2022/12/13 (19:28:38) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/13 (19:31:44) | ===> btop++ v.1.2.13
2022/12/13 (19:31:44) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/14 (12:12:36) | ===> btop++ v.1.2.13
2022/12/14 (12:12:36) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/14 (12:17:47) | ===> btop++ v.1.2.13
2022/12/14 (12:17:47) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/14 (12:18:09) | ===> btop++ v.1.2.13
2022/12/14 (12:18:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/14 (15:02:26) | ===> btop++ v.1.2.13
2022/12/14 (15:02:26) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/14 (17:36:12) | ===> btop++ v.1.2.13
2022/12/14 (17:36:12) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/14 (20:29:10) | ===> btop++ v.1.2.13
2022/12/14 (20:29:10) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/15 (16:00:30) | ===> btop++ v.1.2.13
2022/12/15 (16:00:30) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2022/12/15 (17:57:02) | ===> btop++ v.1.2.13
